train_id,origin_hub,destination_hub,departure_time,departure_time_fmt,arrival_time,arrival_time_fmt,capacity
X156,3,1,34.5,Day 2 10:30,47.75,Day 2 23:45,600.0
X157,1,3,37.5,Day 2 13:30,50.75,Day 3 02:45,600.0
X158,3,1,37.5,Day 2 13:30,50.75,Day 3 02:45,600.0
X159,1,3,40.5,Day 2 16:30,53.75,Day 3 05:45,600.0
X160,3,1,40.5,Day 2 16:30,53.75,Day 3 05:45,600.0
X161,1,3,43.5,Day 2 19:30,56.75,Day 3 08:45,600.0
X162,3,1,43.5,Day 2 19:30,56.75,Day 3 08:45,600.0
X163,1,3,46.5,Day 2 22:30,59.75,Day 3 11:45,600.0
X164,3,1,46.5,Day 2 22:30,59.75,Day 3 11:45,600.0
X165,1,4,1.5,Day 1 01:30,6.6,Day 1 06:36,600.0
X166,4,1,1.5,Day 1 01:30,6.6,Day 1 06:36,600.0
X167,1,4,4.5,Day 1 04:30,9.6,Day 1 09:36,600.0
X168,4,1,4.5,Day 1 04:30,9.6,Day 1 09:36,600.0
X169,1,4,7.5,Day 1 07:30,12.6,Day 1 12:36,600.0
X170,4,1,7.5,Day 1 07:30,12.6,Day 1 12:36,600.0
X171,1,4,10.5,Day 1 10:30,15.6,Day 1 15:36,600.0
X172,4,1,10.5,Day 1 10:30,15.6,Day 1 15:36,600.0
X173,1,4,13.5,Day 1 13:30,18.6,Day 1 18:36,600.0
X174,4,1,13.5,Day 1 13:30,18.6,Day 1 18:36,600.0
X175,1,4,16.5,Day 1 16:30,21.6,Day 1 21:36,600.0
X176,4,1,16.5,Day 1 16:30,21.6,Day 1 21:36,600.0
X177,1,4,19.5,Day 1 19:30,24.6,Day 2 00:36,600.0
X178,4,1,19.5,Day 1 19:30,24.6,Day 2 00:36,600.0
X179,1,4,22.5,Day 1 22:30,27.6,Day 2 03:36,600.0
X180,4,1,22.5,Day 1 22:30,27.6,Day 2 03:36,600.0
X181,1,4,25.5,Day 2 01:30,30.6,Day 2 06:36,600.0
X182,4,1,25.5,Day 2 01:30,30.6,Day 2 06:36,600.0
X183,1,4,28.5,Day 2 04:30,33.6,Day 2 09:36,600.0
X184,4,1,28.5,Day 2 04:30,33.6,Day 2 09:36,600.0
X185,1,4,31.5,Day 2 07:30,36.6,Day 2 12:36,600.0
X186,4,1,31.5,Day 2 07:30,36.6,Day 2 12:36,600.0
X187,1,4,34.5,Day 2 10:30,39.6,Day 2 15:36,600.0
X188,4,1,34.5,Day 2 10:30,39.6,Day 2 15:36,600.0
X189,1,4,37.5,Day 2 13:30,42.6,Day 2 18:36,600.0
X190,4,1,37.5,Day 2 13:30,42.6,Day 2 18:36,600.0
X191,1,4,40.5,Day 2 16:30,45.6,Day 2 21:36,600.0
X192,4,1,40.5,Day 2 16:30,45.6,Day 2 21:36,600.0
X193,1,4,43.5,Day 2 19:30,48.6,Day 3 00:36,600.0
X194,4,1,43.5,Day 2 19:30,48.6,Day 3 00:36,600.0
X195,1,4,46.5,Day 2 22:30,51.6,Day 3 03:36,600.0
X196,4,1,46.5,Day 2 22:30,51.6,Day 3 03:36,600.0
X197,1,5,1.5,Day 1 01:30,13.94,Day 1 13:56,600.0
X198,5,1,1.5,Day 1 01:30,13.94,Day 1 13:56,600.0
X199,1,5,4.5,Day 1 04:30,16.94,Day 1 16:56,600.0
X200,5,1,4.5,Day 1 04:30,16.94,Day 1 16:56,600.0
X201,1,5,7.5,Day 1 07:30,19.94,Day 1 19:56,600.0
X202,5,1,7.5,Day 1 07:30,19.94,Day 1 19:56,600.0
X203,1,5,10.5,Day 1 10:30,22.94,Day 1 22:56,600.0
X204,5,1,10.5,Day 1 10:30,22.94,Day 1 22:56,600.0
X205,1,5,13.5,Day 1 13:30,25.94,Day 2 01:56,600.0
X206,5,1,13.5,Day 1 13:30,25.94,Day 2 01:56,600.0
X207,1,5,16.5,Day 1 16:30,28.94,Day 2 04:56,600.0
X208,5,1,16.5,Day 1 16:30,28.94,Day 2 04:56,600.0
X209,1,5,19.5,Day 1 19:30,31.94,Day 2 07:56,600.0
X210,5,1,19.5,Day 1 19:30,31.94,Day 2 07:56,600.0
X211,1,5,22.5,Day 1 22:30,34.94,Day 2 10:56,600.0
X212,5,1,22.5,Day 1 22:30,34.94,Day 2 10:56,600.0
X213,1,5,25.5,Day 2 01:30,37.94,Day 2 13:56,600.0
X214,5,1,25.5,Day 2 01:30,37.94,Day 2 13:56,600.0
X215,1,5,28.5,Day 2 04:30,40.94,Day 2 16:56,600.0
X216,5,1,28.5,Day 2 04:30,40.94,Day 2 16:56,600.0
X217,1,5,31.5,Day 2 07:30,43.94,Day 2 19:56,600.0
X218,5,1,31.5,Day 2 07:30,43.94,Day 2 19:56,600.0
X219,1,5,34.5,Day 2 10:30,46.94,Day 2 22:56,600.0
X220,5,1,34.5,Day 2 10:30,46.94,Day 2 22:56,600.0
X221,1,5,37.5,Day 2 13:30,49.94,Day 3 01:56,600.0
X222,5,1,37.5,Day 2 13:30,49.94,Day 3 01:56,600.0
X223,1,5,40.5,Day 2 16:30,52.94,Day 3 04:56,600.0
X224,5,1,40.5,Day 2 16:30,52.94,Day 3 04:56,600.0
X225,1,5,43.5,Day 2 19:30,55.94,Day 3 07:56,600.0
X226,5,1,43.5,Day 2 19:30,55.94,Day 3 07:56,600.0
X227,1,5,46.5,Day 2 22:30,58.94,Day 3 10:56,600.0
X228,5,1,46.5,Day 2 22:30,58.94,Day 3 10:56,600.0
X229,1,6,1.5,Day 1 01:30,8.26,Day 1 08:16,600.0
X230,6,1,1.5,Day 1 01:30,8.26,Day 1 08:16,600.0
X231,1,6,4.5,Day 1 04:30,11.26,Day 1 11:16,600.0
X232,6,1,4.5,Day 1 04:30,11.26,Day 1 11:16,600.0
X233,1,6,7.5,Day 1 07:30,14.26,Day 1 14:16,600.0
X234,6,1,7.5,Day 1 07:30,14.26,Day 1 14:16,600.0
X235,1,6,10.5,Day 1 10:30,17.26,Day 1 17:16,600.0
X236,6,1,10.5,Day 1 10:30,17.26,Day 1 17:16,600.0
X237,1,6,13.5,Day 1 13:30,20.26,Day 1 20:16,600.0
X238,6,1,13.5,Day 1 13:30,20.26,Day 1 20:16,600.0
X239,1,6,16.5,Day 1 16:30,23.26,Day 1 23:16,600.0
X240,6,1,16.5,Day 1 16:30,23.26,Day 1 23:16,600.0
X241,1,6,19.5,Day 1 19:30,26.26,Day 2 02:16,600.0
X242,6,1,19.5,Day 1 19:30,26.26,Day 2 02:16,600.0
X243,1,6,22.5,Day 1 22:30,29.26,Day 2 05:16,600.0
X244,6,1,22.5,Day 1 22:30,29.26,Day 2 05:16,600.0
X245,1,6,25.5,Day 2 01:30,32.26,Day 2 08:16,600.0
X246,6,1,25.5,Day 2 01:30,32.26,Day 2 08:16,600.0
X247,1,6,28.5,Day 2 04:30,35.26,Day 2 11:16,600.0
X248,6,1,28.5,Day 2 04:30,35.26,Day 2 11:16,600.0
X249,1,6,31.5,Day 2 07:30,38.26,Day 2 14:16,600.0
X250,6,1,31.5,Day 2 07:30,38.26,Day 2 14:16,600.0
X251,1,6,34.5,Day 2 10:30,41.26,Day 2 17:16,600.0
X252,6,1,34.5,Day 2 10:30,41.26,Day 2 17:16,600.0
X253,1,6,37.5,Day 2 13:30,44.26,Day 2 20:16,600.0
X254,6,1,37.5,Day 2 13:30,44.26,Day 2 20:16,600.0
X255,1,6,40.5,Day 2 16:30,47.26,Day 2 23:16,600.0
X256,6,1,40.5,Day 2 16:30,47.26,Day 2 23:16,600.0
X257,1,6,43.5,Day 2 19:30,50.26,Day 3 02:16,600.0
X258,6,1,43.5,Day 2 19:30,50.26,Day 3 02:16,600.0
X259,1,6,46.5,Day 2 22:30,53.26,Day 3 05:16,600.0
X260,6,1,46.5,Day 2 22:30,53.26,Day 3 05:16,600.0
X261,1,7,1.5,Day 1 01:30,9.58,Day 1 09:35,600.0
X262,7,1,1.5,Day 1 01:30,9.58,Day 1 09:35,600.0
X263,1,7,4.5,Day 1 04:30,12.58,Day 1 12:35,600.0
X264,7,1,4.5,Day 1 04:30,12.58,Day 1 12:35,600.0
X265,1,7,7.5,Day 1 07:30,15.58,Day 1 15:35,600.0
X266,7,1,7.5,Day 1 07:30,15.58,Day 1 15:35,600.0
X267,1,7,10.5,Day 1 10:30,18.58,Day 1 18:35,600.0
X268,7,1,10.5,Day 1 10:30,18.58,Day 1 18:35,600.0
X269,1,7,13.5,Day 1 13:30,21.58,Day 1 21:35,600.0
X270,7,1,13.5,Day 1 13:30,21.58,Day 1 21:35,600.0
X271,1,7,16.5,Day 1 16:30,24.58,Day 2 00:35,600.0
X272,7,1,16.5,Day 1 16:30,24.58,Day 2 00:35,600.0
X273,1,7,19.5,Day 1 19:30,27.58,Day 2 03:35,600.0
X274,7,1,19.5,Day 1 19:30,27.58,Day 2 03:35,600.0
X275,1,7,22.5,Day 1 22:30,30.58,Day 2 06:35,600.0
X276,7,1,22.5,Day 1 22:30,30.58,Day 2 06:35,600.0
X277,1,7,25.5,Day 2 01:30,33.58,Day 2 09:35,600.0
X278,7,1,25.5,Day 2 01:30,33.58,Day 2 09:35,600.0
X279,1,7,28.5,Day 2 04:30,36.58,Day 2 12:35,600.0
X280,7,1,28.5,Day 2 04:30,36.58,Day 2 12:35,600.0
X281,1,7,31.5,Day 2 07:30,39.58,Day 2 15:35,600.0
X282,7,1,31.5,Day 2 07:30,39.58,Day 2 15:35,600.0
X283,1,7,34.5,Day 2 10:30,42.58,Day 2 18:35,600.0
X284,7,1,34.5,Day 2 10:30,42.58,Day 2 18:35,600.0
X285,1,7,37.5,Day 2 13:30,45.58,Day 2 21:35,600.0
X286,7,1,37.5,Day 2 13:30,45.58,Day 2 21:35,600.0
X287,1,7,40.5,Day 2 16:30,48.58,Day 3 00:35,600.0
X288,7,1,40.5,Day 2 16:30,48.58,Day 3 00:35,600.0
X289,1,7,43.5,Day 2 19:30,51.58,Day 3 03:35,600.0
X290,7,1,43.5,Day 2 19:30,51.58,Day 3 03:35,600.0
X291,1,7,46.5,Day 2 22:30,54.58,Day 3 06:35,600.0
X292,7,1,46.5,Day 2 22:30,54.58,Day 3 06:35,600.0
X293,1,8,1.5,Day 1 01:30,18.28,Day 1 18:17,600.0
X294,8,1,1.5,Day 1 01:30,18.28,Day 1 18:17,600.0
X295,1,8,4.5,Day 1 04:30,21.28,Day 1 21:17,600.0
X296,8,1,4.5,Day 1 04:30,21.28,Day 1 21:17,600.0
X297,1,8,7.5,Day 1 07:30,24.28,Day 2 00:17,600.0
X298,8,1,7.5,Day 1 07:30,24.28,Day 2 00:17,600.0
X299,1,8,10.5,Day 1 10:30,27.28,Day 2 03:17,600.0
X300,8,1,10.5,Day 1 10:30,27.28,Day 2 03:17,600.0
X301,1,8,13.5,Day 1 13:30,30.28,Day 2 06:17,600.0
X302,8,1,13.5,Day 1 13:30,30.28,Day 2 06:17,600.0
X303,1,8,16.5,Day 1 16:30,33.28,Day 2 09:17,600.0
X304,8,1,16.5,Day 1 16:30,33.28,Day 2 09:17,600.0
X305,1,8,19.5,Day 1 19:30,36.28,Day 2 12:17,600.0
X306,8,1,19.5,Day 1 19:30,36.28,Day 2 12:17,600.0
X307,1,8,22.5,Day 1 22:30,39.28,Day 2 15:17,600.0
X308,8,1,22.5,Day 1 22:30,39.28,Day 2 15:17,600.0
X309,1,8,25.5,Day 2 01:30,42.28,Day 2 18:17,600.0
X310,8,1,25.5,Day 2 01:30,42.28,Day 2 18:17,600.0
X311,1,8,28.5,Day 2 04:30,45.28,Day 2 21:17,600.0
X312,8,1,28.5,Day 2 04:30,45.28,Day 2 21:17,600.0
X313,1,8,31.5,Day 2 07:30,48.28,Day 3 00:17,600.0
X314,8,1,31.5,Day 2 07:30,48.28,Day 3 00:17,600.0
X315,1,8,34.5,Day 2 10:30,51.28,Day 3 03:17,600.0
X316,8,1,34.5,Day 2 10:30,51.28,Day 3 03:17,600.0
X317,1,8,37.5,Day 2 13:30,54.28,Day 3 06:17,600.0
X318,8,1,37.5,Day 2 13:30,54.28,Day 3 06:17,600.0
X319,1,8,40.5,Day 2 16:30,57.28,Day 3 09:17,600.0
X320,8,1,40.5,Day 2 16:30,57.28,Day 3 09:17,600.0
X321,1,8,43.5,Day 2 19:30,60.28,Day 3 12:17,600.0
X322,8,1,43.5,Day 2 19:30,60.28,Day 3 12:17,600.0
X323,1,8,46.5,Day 2 22:30,63.28,Day 3 15:17,600.0
X324,8,1,46.5,Day 2 22:30,63.28,Day 3 15:17,600.0
X325,1,9,1.5,Day 1 01:30,19.91,Day 1 19:55,600.0
X326,9,1,1.5,Day 1 01:30,19.91,Day 1 19:55,600.0
X327,1,9,4.5,Day 1 04:30,22.91,Day 1 22:55,600.0
X328,9,1,4.5,Day 1 04:30,22.91,Day 1 22:55,600.0
X329,1,9,7.5,Day 1 07:30,25.91,Day 2 01:55,600.0
X330,9,1,7.5,Day 1 07:30,25.91,Day 2 01:55,600.0
X331,1,9,10.5,Day 1 10:30,28.91,Day 2 04:55,600.0
X332,9,1,10.5,Day 1 10:30,28.91,Day 2 04:55,600.0
X333,1,9,13.5,Day 1 13:30,31.91,Day 2 07:55,600.0
X334,9,1,13.5,Day 1 13:30,31.91,Day 2 07:55,600.0
X335,1,9,16.5,Day 1 16:30,34.91,Day 2 10:55,600.0
X336,9,1,16.5,Day 1 16:30,34.91,Day 2 10:55,600.0
X337,1,9,19.5,Day 1 19:30,37.91,Day 2 13:55,600.0
X338,9,1,19.5,Day 1 19:30,37.91,Day 2 13:55,600.0
X339,1,9,22.5,Day 1 22:30,40.91,Day 2 16:55,600.0
X340,9,1,22.5,Day 1 22:30,40.91,Day 2 16:55,600.0
X341,1,9,25.5,Day 2 01:30,43.91,Day 2 19:55,600.0
X342,9,1,25.5,Day 2 01:30,43.91,Day 2 19:55,600.0
X343,1,9,28.5,Day 2 04:30,46.91,Day 2 22:55,600.0
X344,9,1,28.5,Day 2 04:30,46.91,Day 2 22:55,600.0
X345,1,9,31.5,Day 2 07:30,49.91,Day 3 01:55,600.0
X346,9,1,31.5,Day 2 07:30,49.91,Day 3 01:55,600.0
X347,1,9,34.5,Day 2 10:30,52.91,Day 3 04:55,600.0
X348,9,1,34.5,Day 2 10:30,52.91,Day 3 04:55,600.0
X349,1,9,37.5,Day 2 13:30,55.91,Day 3 07:55,600.0
X350,9,1,37.5,Day 2 13:30,55.91,Day 3 07:55,600.0
X351,1,9,40.5,Day 2 16:30,58.91,Day 3 10:55,600.0
X352,9,1,40.5,Day 2 16:30,58.91,Day 3 10:55,600.0
X353,1,9,43.5,Day 2 19:30,61.91,Day 3 13:55,600.0
X354,9,1,43.5,Day 2 19:30,61.91,Day 3 13:55,600.0
X355,1,9,46.5,Day 2 22:30,64.91,Day 3 16:55,600.0
X356,9,1,46.5,Day 2 22:30,64.91,Day 3 16:55,600.0
X357,1,10,1.5,Day 1 01:30,19.0,Day 1 19:00,600.0
X358,10,1,1.5,Day 1 01:30,19.0,Day 1 19:00,600.0
X359,1,10,4.5,Day 1 04:30,22.0,Day 1 22:00,600.0
X360,10,1,4.5,Day 1 04:30,22.0,Day 1 22:00,600.0
X361,1,10,7.5,Day 1 07:30,25.0,Day 2 01:00,600.0
X362,10,1,7.5,Day 1 07:30,25.0,Day 2 01:00,600.0
X363,1,10,10.5,Day 1 10:30,28.0,Day 2 04:00,600.0
X364,10,1,10.5,Day 1 10:30,28.0,Day 2 04:00,600.0
X365,1,10,13.5,Day 1 13:30,31.0,Day 2 07:00,600.0
X366,10,1,13.5,Day 1 13:30,31.0,Day 2 07:00,600.0
X367,1,10,16.5,Day 1 16:30,34.0,Day 2 10:00,600.0
X368,10,1,16.5,Day 1 16:30,34.0,Day 2 10:00,600.0
X369,1,10,19.5,Day 1 19:30,37.0,Day 2 13:00,600.0
X370,10,1,19.5,Day 1 19:30,37.0,Day 2 13:00,600.0
X371,1,10,22.5,Day 1 22:30,40.0,Day 2 16:00,600.0
X372,10,1,22.5,Day 1 22:30,40.0,Day 2 16:00,600.0
X373,1,10,25.5,Day 2 01:30,43.0,Day 2 19:00,600.0
X374,10,1,25.5,Day 2 01:30,43.0,Day 2 19:00,600.0
X375,1,10,28.5,Day 2 04:30,46.0,Day 2 22:00,600.0
X376,10,1,28.5,Day 2 04:30,46.0,Day 2 22:00,600.0
X377,1,10,31.5,Day 2 07:30,49.0,Day 3 01:00,600.0
X378,10,1,31.5,Day 2 07:30,49.0,Day 3 01:00,600.0
X379,1,10,34.5,Day 2 10:30,52.0,Day 3 04:00,600.0
X380,10,1,34.5,Day 2 10:30,52.0,Day 3 04:00,600.0
X381,1,10,37.5,Day 2 13:30,55.0,Day 3 07:00,600.0
X382,10,1,37.5,Day 2 13:30,55.0,Day 3 07:00,600.0
X383,1,10,40.5,Day 2 16:30,58.0,Day 3 10:00,600.0
X384,10,1,40.5,Day 2 16:30,58.0,Day 3 10:00,600.0
X385,1,10,43.5,Day 2 19:30,61.0,Day 3 13:00,600.0
X386,10,1,43.5,Day 2 19:30,61.0,Day 3 13:00,600.0
X387,1,10,46.5,Day 2 22:30,64.0,Day 3 16:00,600.0
X388,10,1,46.5,Day 2 22:30,64.0,Day 3 16:00,600.0
X389,1,11,1.5,Day 1 01:30,18.12,Day 1 18:07,600.0
X390,11,1,1.5,Day 1 01:30,18.12,Day 1 18:07,600.0
X391,1,11,4.5,Day 1 04:30,21.12,Day 1 21:07,600.0
X392,11,1,4.5,Day 1 04:30,21.12,Day 1 21:07,600.0
X393,1,11,7.5,Day 1 07:30,24.12,Day 2 00:07,600.0
X394,11,1,7.5,Day 1 07:30,24.12,Day 2 00:07,600.0
X395,1,11,10.5,Day 1 10:30,27.12,Day 2 03:07,600.0
X396,11,1,10.5,Day 1 10:30,27.12,Day 2 03:07,600.0
X397,1,11,13.5,Day 1 13:30,30.12,Day 2 06:07,600.0
X398,11,1,13.5,Day 1 13:30,30.12,Day 2 06:07,600.0
X399,1,11,16.5,Day 1 16:30,33.12,Day 2 09:07,600.0
X400,11,1,16.5,Day 1 16:30,33.12,Day 2 09:07,600.0
X401,1,11,19.5,Day 1 19:30,36.12,Day 2 12:07,600.0
X402,11,1,19.5,Day 1 19:30,36.12,Day 2 12:07,600.0
X403,1,11,22.5,Day 1 22:30,39.12,Day 2 15:07,600.0
X404,11,1,22.5,Day 1 22:30,39.12,Day 2 15:07,600.0
X405,1,11,25.5,Day 2 01:30,42.12,Day 2 18:07,600.0
X406,11,1,25.5,Day 2 01:30,42.12,Day 2 18:07,600.0
X407,1,11,28.5,Day 2 04:30,45.12,Day 2 21:07,600.0
X408,11,1,28.5,Day 2 04:30,45.12,Day 2 21:07,600.0
X409,1,11,31.5,Day 2 07:30,48.12,Day 3 00:07,600.0
X410,11,1,31.5,Day 2 07:30,48.12,Day 3 00:07,600.0
X411,1,11,34.5,Day 2 10:30,51.12,Day 3 03:07,600.0
X412,11,1,34.5,Day 2 10:30,51.12,Day 3 03:07,600.0
X413,1,11,37.5,Day 2 13:30,54.12,Day 3 06:07,600.0
X414,11,1,37.5,Day 2 13:30,54.12,Day 3 06:07,600.0
X415,1,11,40.5,Day 2 16:30,57.12,Day 3 09:07,600.0
X416,11,1,40.5,Day 2 16:30,57.12,Day 3 09:07,600.0
X417,1,11,43.5,Day 2 19:30,60.12,Day 3 12:07,600.0
X418,11,1,43.5,Day 2 19:30,60.12,Day 3 12:07,600.0
X419,1,11,46.5,Day 2 22:30,63.12,Day 3 15:07,600.0
X420,11,1,46.5,Day 2 22:30,63.12,Day 3 15:07,600.0
X421,1,12,1.5,Day 1 01:30,14.06,Day 1 14:04,600.0
X422,12,1,1.5,Day 1 01:30,14.06,Day 1 14:04,600.0
X423,1,12,4.5,Day 1 04:30,17.06,Day 1 17:04,600.0
X424,12,1,4.5,Day 1 04:30,17.06,Day 1 17:04,600.0
X425,1,12,7.5,Day 1 07:30,20.06,Day 1 20:04,600.0
X426,12,1,7.5,Day 1 07:30,20.06,Day 1 20:04,600.0
X427,1,12,10.5,Day 1 10:30,23.06,Day 1 23:04,600.0
X428,12,1,10.5,Day 1 10:30,23.06,Day 1 23:04,600.0
X429,1,12,13.5,Day 1 13:30,26.06,Day 2 02:04,600.0
X430,12,1,13.5,Day 1 13:30,26.06,Day 2 02:04,600.0
X431,1,12,16.5,Day 1 16:30,29.06,Day 2 05:04,600.0
X432,12,1,16.5,Day 1 16:30,29.06,Day 2 05:04,600.0
X433,1,12,19.5,Day 1 19:30,32.06,Day 2 08:04,600.0
X434,12,1,19.5,Day 1 19:30,32.06,Day 2 08:04,600.0
X435,1,12,22.5,Day 1 22:30,35.06,Day 2 11:04,600.0
X436,12,1,22.5,Day 1 22:30,35.06,Day 2 11:04,600.0
X437,1,12,25.5,Day 2 01:30,38.06,Day 2 14:04,600.0
X438,12,1,25.5,Day 2 01:30,38.06,Day 2 14:04,600.0
X439,1,12,28.5,Day 2 04:30,41.06,Day 2 17:04,600.0
X440,12,1,28.5,Day 2 04:30,41.06,Day 2 17:04,600.0
X441,1,12,31.5,Day 2 07:30,44.06,Day 2 20:04,600.0
X442,12,1,31.5,Day 2 07:30,44.06,Day 2 20:04,600.0
X443,1,12,34.5,Day 2 10:30,47.06,Day 2 23:04,600.0
X444,12,1,34.5,Day 2 10:30,47.06,Day 2 23:04,600.0
X445,1,12,37.5,Day 2 13:30,50.06,Day 3 02:04,600.0
X446,12,1,37.5,Day 2 13:30,50.06,Day 3 02:04,600.0
X447,1,12,40.5,Day 2 16:30,53.06,Day 3 05:04,600.0
X448,12,1,40.5,Day 2 16:30,53.06,Day 3 05:04,600.0
X449,1,12,43.5,Day 2 19:30,56.06,Day 3 08:04,600.0
X450,12,1,43.5,Day 2 19:30,56.06,Day 3 08:04,600.0
X451,1,12,46.5,Day 2 22:30,59.06,Day 3 11:04,600.0
X452,12,1,46.5,Day 2 22:30,59.06,Day 3 11:04,600.0
X453,1,13,1.5,Day 1 01:30,17.61,Day 1 17:37,600.0
X454,13,1,1.5,Day 1 01:30,17.61,Day 1 17:37,600.0
X455,1,13,4.5,Day 1 04:30,20.61,Day 1 20:37,600.0
X456,13,1,4.5,Day 1 04:30,20.61,Day 1 20:37,600.0
X457,1,13,7.5,Day 1 07:30,23.61,Day 1 23:37,600.0
X458,13,1,7.5,Day 1 07:30,23.61,Day 1 23:37,600.0
X459,1,13,10.5,Day 1 10:30,26.61,Day 2 02:37,600.0
X460,13,1,10.5,Day 1 10:30,26.61,Day 2 02:37,600.0
X461,1,13,13.5,Day 1 13:30,29.61,Day 2 05:37,600.0
X462,13,1,13.5,Day 1 13:30,29.61,Day 2 05:37,600.0
X463,1,13,16.5,Day 1 16:30,32.61,Day 2 08:37,600.0
X464,13,1,16.5,Day 1 16:30,32.61,Day 2 08:37,600.0
X465,1,13,19.5,Day 1 19:30,35.61,Day 2 11:37,600.0
X466,13,1,19.5,Day 1 19:30,35.61,Day 2 11:37,600.0
X467,1,13,22.5,Day 1 22:30,38.61,Day 2 14:37,600.0
X468,13,1,22.5,Day 1 22:30,38.61,Day 2 14:37,600.0
X469,1,13,25.5,Day 2 01:30,41.61,Day 2 17:37,600.0
X470,13,1,25.5,Day 2 01:30,41.61,Day 2 17:37,600.0
X471,1,13,28.5,Day 2 04:30,44.61,Day 2 20:37,600.0
X472,13,1,28.5,Day 2 04:30,44.61,Day 2 20:37,600.0
X473,1,13,31.5,Day 2 07:30,47.61,Day 2 23:37,600.0
X474,13,1,31.5,Day 2 07:30,47.61,Day 2 23:37,600.0
X475,1,13,34.5,Day 2 10:30,50.61,Day 3 02:37,600.0
