id,i,j,mode,distance,time_a,time_b,time_c,time_d,alpha,C_consequence,e_window,l_window,capacity,unit_cost,deploy_cost,min_units,population_density,e_window_fmt,l_window_fmt
42,4,2,2,988.49,11.12,12.36,12.36,16.06,0.00129,81.6,0.0,128.2,600.0,183.84,700.0,1,0.9,Day 1 00:00,Day 6 08:12
43,2,5,2,611.76,6.88,7.65,7.65,9.94,0.00139,56.49,0.0,128.2,600.0,123.1,700.0,1,1.02,Day 1 00:00,Day 6 08:12
44,5,2,2,611.76,6.88,7.65,7.65,9.94,0.00139,56.49,0.0,128.2,600.0,123.1,700.0,1,1.02,Day 1 00:00,Day 6 08:12
45,2,6,2,1410.58,15.87,17.63,17.63,22.92,0.00257,37.48,0.0,128.2,600.0,251.91,700.0,1,1.42,Day 1 00:00,Day 6 08:12
46,6,2,2,1410.58,15.87,17.63,17.63,22.92,0.00257,37.48,0.0,128.2,600.0,251.91,700.0,1,1.42,Day 1 00:00,Day 6 08:12
47,2,7,2,655.94,7.38,8.2,8.2,10.66,0.00163,49.34,0.0,128.2,600.0,130.22,700.0,1,1.75,Day 1 00:00,Day 6 08:12
48,7,2,2,655.94,7.38,8.2,8.2,10.66,0.00163,49.34,0.0,128.2,600.0,130.22,700.0,1,1.75,Day 1 00:00,Day 6 08:12
49,2,8,2,1414.86,15.92,17.69,17.69,22.99,0.00146,75.51,0.0,128.2,600.0,252.6,700.0,1,1.99,Day 1 00:00,Day 6 08:12
50,8,2,2,1414.86,15.92,17.69,17.69,22.99,0.00146,75.51,0.0,128.2,600.0,252.6,700.0,1,1.99,Day 1 00:00,Day 6 08:12
51,2,9,2,1227.15,13.81,15.34,15.34,19.94,0.00065,82.14,0.0,128.2,600.0,222.33,700.0,1,2.87,Day 1 00:00,Day 6 08:12
52,9,2,2,1227.15,13.81,15.34,15.34,19.94,0.00065,82.14,0.0,128.2,600.0,222.33,700.0,1,2.87,Day 1 00:00,Day 6 08:12
53,2,10,2,1063.92,11.97,13.3,13.3,17.29,0.00122,77.07,0.0,128.2,600.0,196.01,700.0,1,2.28,Day 1 00:00,Day 6 08:12
54,10,2,2,1063.92,11.97,13.3,13.3,17.29,0.00122,77.07,0.0,128.2,600.0,196.01,700.0,1,2.28,Day 1 00:00,Day 6 08:12
55,2,11,2,1122.1,12.62,14.03,14.03,18.23,0.00087,98.14,0.0,128.2,600.0,205.39,700.0,1,2.89,Day 1 00:00,Day 6 08:12
56,11,2,2,1122.1,12.62,14.03,14.03,18.23,0.00087,98.14,0.0,128.2,600.0,205.39,700.0,1,2.89,Day 1 00:00,Day 6 08:12
57,2,12,2,867.09,9.75,10.84,10.84,14.09,0.00198,32.77,0.0,128.2,600.0,164.27,700.0,1,2.97,Day 1 00:00,Day 6 08:12
58,12,2,2,867.09,9.75,10.84,10.84,14.09,0.00198,32.77,0.0,128.2,600.0,164.27,700.0,1,2.97,Day 1 00:00,Day 6 08:12
59,2,13,2,1300.62,14.63,16.26,16.26,21.14,0.00209,83.28,0.0,128.2,600.0,234.17,700.0,1,0.97,Day 1 00:00,Day 6 08:12
60,13,2,2,1300.62,14.63,16.26,16.26,21.14,0.00209,83.28,0.0,128.2,600.0,234.17,700.0,1,0.97,Day 1 00:00,Day 6 08:12
61,2,14,2,738.42,8.31,9.23,9.23,12.0,0.00112,71.72,0.0,128.2,600.0,143.52,700.0,1,0.73,Day 1 00:00,Day 6 08:12
62,14,2,2,738.42,8.31,9.23,9.23,12.0,0.00112,71.72,0.0,128.2,600.0,143.52,700.0,1,0.73,Day 1 00:00,Day 6 08:12
63,2,15,2,1385.17,15.58,17.31,17.31,22.51,0.00166,61.14,0.0,128.2,600.0,247.81,700.0,1,0.76,Day 1 00:00,Day 6 08:12
64,15,2,2,1385.17,15.58,17.31,17.31,22.51,0.00166,61.14,0.0,128.2,600.0,247.81,700.0,1,0.76,Day 1 00:00,Day 6 08:12
65,2,16,2,1153.39,12.98,14.42,14.42,18.74,0.00254,74.07,0.0,128.2,600.0,210.43,700.0,1,1.11,Day 1 00:00,Day 6 08:12
66,16,2,2,1153.39,12.98,14.42,14.42,18.74,0.00254,74.07,0.0,128.2,600.0,210.43,700.0,1,1.11,Day 1 00:00,Day 6 08:12
67,2,17,2,1263.96,14.22,15.8,15.8,20.54,0.00086,87.91,0.0,128.2,600.0,228.26,700.0,1,1.95,Day 1 00:00,Day 6 08:12
68,17,2,2,1263.96,14.22,15.8,15.8,20.54,0.00086,87.91,0.0,128.2,600.0,228.26,700.0,1,1.95,Day 1 00:00,Day 6 08:12
69,2,18,2,718.31,8.08,8.98,8.98,11.67,0.00178,74.02,0.0,128.2,600.0,140.28,700.0,1,1.15,Day 1 00:00,Day 6 08:12
70,18,2,2,718.31,8.08,8.98,8.98,11.67,0.00178,74.02,0.0,128.2,600.0,140.28,700.0,1,1.15,Day 1 00:00,Day 6 08:12
71,2,19,2,1331.6,14.98,16.64,16.64,21.64,0.00155,92.46,0.0,128.2,600.0,239.17,700.0,1,2.59,Day 1 00:00,Day 6 08:12
72,19,2,2,1331.6,14.98,16.64,16.64,21.64,0.00155,92.46,0.0,128.2,600.0,239.17,700.0,1,2.59,Day 1 00:00,Day 6 08:12
73,2,20,2,509.28,5.73,6.37,6.37,8.28,0.00212,51.73,0.0,128.2,600.0,106.57,700.0,1,2.39,Day 1 00:00,Day 6 08:12
74,20,2,2,509.28,5.73,6.37,6.37,8.28,0.00212,51.73,0.0,128.2,600.0,106.57,700.0,1,2.39,Day 1 00:00,Day 6 08:12
75,3,4,2,996.89,11.22,12.46,12.46,16.2,0.00164,92.68,0.0,128.2,600.0,185.2,700.0,1,0.64,Day 1 00:00,Day 6 08:12
76,4,3,2,996.89,11.22,12.46,12.46,16.2,0.00164,92.68,0.0,128.2,600.0,185.2,700.0,1,0.64,Day 1 00:00,Day 6 08:12
77,3,5,2,1013.05,11.4,12.66,12.66,16.46,0.00132,32.47,0.0,128.2,600.0,187.8,700.0,1,2.38,Day 1 00:00,Day 6 08:12
78,5,3,2,1013.05,11.4,12.66,12.66,16.46,0.00132,32.47,0.0,128.2,600.0,187.8,700.0,1,2.38,Day 1 00:00,Day 6 08:12
79,3,6,2,1017.91,11.45,12.72,12.72,16.54,0.00274,71.88,0.0,128.2,600.0,188.59,700.0,1,1.34,Day 1 00:00,Day 6 08:12
80,6,3,2,1017.91,11.45,12.72,12.72,16.54,0.00274,71.88,0.0,128.2,600.0,188.59,700.0,1,1.34,Day 1 00:00,Day 6 08:12
81,3,7,2,1483.74,16.69,18.55,18.55,24.11,0.00079,33.68,0.0,128.2,600.0,263.7,700.0,1,2.33,Day 1 00:00,Day 6 08:12
82,7,3,2,1483.74,16.69,18.55,18.55,24.11,0.00079,33.68,0.0,128.2,600.0,263.7,700.0,1,2.33,Day 1 00:00,Day 6 08:12
83,3,8,2,807.96,9.09,10.1,10.1,13.13,0.0014,91.36,0.0,128.2,600.0,154.73,700.0,1,1.32,Day 1 00:00,Day 6 08:12
84,8,3,2,807.96,9.09,10.1,10.1,13.13,0.0014,91.36,0.0,128.2,600.0,154.73,700.0,1,1.32,Day 1 00:00,Day 6 08:12
85,3,9,2,1377.89,15.5,17.22,17.22,22.39,0.00211,53.03,0.0,128.2,600.0,246.63,700.0,1,0.65,Day 1 00:00,Day 6 08:12
86,9,3,2,1377.89,15.5,17.22,17.22,22.39,0.00211,53.03,0.0,128.2,600.0,246.63,700.0,1,0.65,Day 1 00:00,Day 6 08:12
87,3,10,2,669.62,7.53,8.37,8.37,10.88,0.00292,58.37,0.0,128.2,600.0,132.43,700.0,1,0.9,Day 1 00:00,Day 6 08:12
88,10,3,2,669.62,7.53,8.37,8.37,10.88,0.00292,58.37,0.0,128.2,600.0,132.43,700.0,1,0.9,Day 1 00:00,Day 6 08:12
89,3,11,2,727.81,8.19,9.1,9.1,11.83,0.00275,41.55,0.0,128.2,600.0,141.81,700.0,1,2.44,Day 1 00:00,Day 6 08:12
90,11,3,2,727.81,8.19,9.1,9.1,11.83,0.00275,41.55,0.0,128.2,600.0,141.81,700.0,1,2.44,Day 1 00:00,Day 6 08:12
91,3,12,2,548.35,6.17,6.85,6.85,8.91,0.0029,67.11,0.0,128.2,600.0,112.87,700.0,1,0.61,Day 1 00:00,Day 6 08:12
92,12,3,2,548.35,6.17,6.85,6.85,8.91,0.0029,67.11,0.0,128.2,600.0,112.87,700.0,1,0.61,Day 1 00:00,Day 6 08:12
93,3,13,2,1424.05,16.02,17.8,17.8,23.14,0.0014,81.2,0.0,128.2,600.0,254.08,700.0,1,1.81,Day 1 00:00,Day 6 08:12
94,13,3,2,1424.05,16.02,17.8,17.8,23.14,0.0014,81.2,0.0,128.2,600.0,254.08,700.0,1,1.81,Day 1 00:00,Day 6 08:12
95,3,14,2,501.84,5.65,6.27,6.27,8.15,0.00077,40.45,0.0,128.2,600.0,105.37,700.0,1,0.9,Day 1 00:00,Day 6 08:12
96,14,3,2,501.84,5.65,6.27,6.27,8.15,0.00077,40.45,0.0,128.2,600.0,105.37,700.0,1,0.9,Day 1 00:00,Day 6 08:12
97,3,15,2,458.03,5.15,5.73,5.73,7.44,0.00062,96.39,0.0,128.2,600.0,98.31,700.0,1,0.73,Day 1 00:00,Day 6 08:12
98,15,3,2,458.03,5.15,5.73,5.73,7.44,0.00062,96.39,0.0,128.2,600.0,98.31,700.0,1,0.73,Day 1 00:00,Day 6 08:12
99,3,16,2,959.19,10.79,11.99,11.99,15.59,0.0008,45.04,0.0,128.2,600.0,179.12,700.0,1,2.41,Day 1 00:00,Day 6 08:12
100,16,3,2,959.19,10.79,11.99,11.99,15.59,0.0008,45.04,0.0,128.2,600.0,179.12,700.0,1,2.41,Day 1 00:00,Day 6 08:12
101,3,17,2,1431.95,16.11,17.9,17.9,23.27,0.00167,30.39,0.0,128.2,600.0,255.35,700.0,1,3.0,Day 1 00:00,Day 6 08:12
102,17,3,2,1431.95,16.11,17.9,17.9,23.27,0.00167,30.39,0.0,128.2,600.0,255.35,700.0,1,3.0,Day 1 00:00,Day 6 08:12
103,3,18,2,452.55,5.09,5.66,5.66,7.35,0.00147,67.73,0.0,128.2,600.0,97.42,700.0,1,2.73,Day 1 00:00,Day 6 08:12
104,18,3,2,452.55,5.09,5.66,5.66,7.35,0.00147,67.73,0.0,128.2,600.0,97.42,700.0,1,2.73,Day 1 00:00,Day 6 08:12
105,3,19,2,1305.42,14.69,16.32,16.32,21.21,0.00202,57.9,0.0,128.2,600.0,234.95,700.0,1,2.59,Day 1 00:00,Day 6 08:12
106,19,3,2,1305.42,14.69,16.32,16.32,21.21,0.00202,57.9,0.0,128.2,600.0,234.95,700.0,1,2.59,Day 1 00:00,Day 6 08:12
107,3,20,2,1355.96,15.25,16.95,16.95,22.03,0.00268,80.23,0.0,128.2,600.0,243.1,700.0,1,0.74,Day 1 00:00,Day 6 08:12
108,20,3,2,1355.96,15.25,16.95,16.95,22.03,0.00268,80.23,0.0,128.2,600.0,243.1,700.0,1,0.74,Day 1 00:00,Day 6 08:12
109,4,5,2,728.44,8.19,9.11,9.11,11.84,0.00171,65.35,0.0,128.2,600.0,141.91,700.0,1,2.58,Day 1 00:00,Day 6 08:12
110,5,4,2,728.44,8.19,9.11,9.11,11.84,0.00171,65.35,0.0,128.2,600.0,141.91,700.0,1,2.58,Day 1 00:00,Day 6 08:12
111,4,6,2,661.62,7.44,8.27,8.27,10.75,0.00216,56.19,0.0,128.2,600.0,131.14,700.0,1,2.44,Day 1 00:00,Day 6 08:12
112,6,4,2,661.62,7.44,8.27,8.27,10.75,0.00216,56.19,0.0,128.2,600.0,131.14,700.0,1,2.44,Day 1 00:00,Day 6 08:12
113,4,7,2,615.35,6.92,7.69,7.69,10.0,0.00169,37.25,0.0,128.2,600.0,123.68,700.0,1,1.03,Day 1 00:00,Day 6 08:12
114,7,4,2,615.35,6.92,7.69,7.69,10.0,0.00169,37.25,0.0,128.2,600.0,123.68,700.0,1,1.03,Day 1 00:00,Day 6 08:12
115,4,8,2,1428.69,16.07,17.86,17.86,23.22,0.00129,92.51,0.0,128.2,600.0,254.83,700.0,1,1.81,Day 1 00:00,Day 6 08:12
116,8,4,2,1428.69,16.07,17.86,17.86,23.22,0.00129,92.51,0.0,128.2,600.0,254.83,700.0,1,1.81,Day 1 00:00,Day 6 08:12
117,4,9,2,442.94,4.98,5.54,5.54,7.2,0.00248,33.64,0.0,128.2,600.0,95.87,700.0,1,2.57,Day 1 00:00,Day 6 08:12
118,9,4,2,442.94,4.98,5.54,5.54,7.2,0.00248,33.64,0.0,128.2,600.0,95.87,700.0,1,2.57,Day 1 00:00,Day 6 08:12
119,4,10,2,409.68,4.61,5.12,5.12,6.66,0.00219,41.6,0.0,128.2,600.0,90.51,700.0,1,1.36,Day 1 00:00,Day 6 08:12
120,10,4,2,409.68,4.61,5.12,5.12,6.66,0.00219,41.6,0.0,128.2,600.0,90.51,700.0,1,1.36,Day 1 00:00,Day 6 08:12
121,4,11,2,1448.03,16.29,18.1,18.1,23.53,0.00172,76.02,0.0,128.2,600.0,257.94,700.0,1,2.35,Day 1 00:00,Day 6 08:12
122,11,4,2,1448.03,16.29,18.1,18.1,23.53,0.00172,76.02,0.0,128.2,600.0,257.94,700.0,1,2.35,Day 1 00:00,Day 6 08:12
123,4,12,2,520.92,5.86,6.51,6.51,8.46,0.0026,93.97,0.0,128.2,600.0,108.45,700.0,1,0.89,Day 1 00:00,Day 6 08:12
124,12,4,2,520.92,5.86,6.51,6.51,8.46,0.0026,93.97,0.0,128.2,600.0,108.45,700.0,1,0.89,Day 1 00:00,Day 6 08:12
125,4,13,2,1000.86,11.26,12.51,12.51,16.26,0.00121,81.85,0.0,128.2,600.0,185.84,700.0,1,0.57,Day 1 00:00,Day 6 08:12
126,13,4,2,1000.86,11.26,12.51,12.51,16.26,0.00121,81.85,0.0,128.2,600.0,185.84,700.0,1,0.57,Day 1 00:00,Day 6 08:12
127,4,14,2,963.8,10.84,12.05,12.05,15.66,0.00248,81.43,0.0,128.2,600.0,179.86,700.0,1,0.77,Day 1 00:00,Day 6 08:12
128,14,4,2,963.8,10.84,12.05,12.05,15.66,0.00248,81.43,0.0,128.2,600.0,179.86,700.0,1,0.77,Day 1 00:00,Day 6 08:12
129,4,15,2,1316.23,14.81,16.45,16.45,21.39,0.00109,86.55,0.0,128.2,600.0,236.69,700.0,1,1.74,Day 1 00:00,Day 6 08:12
130,15,4,2,1316.23,14.81,16.45,16.45,21.39,0.00109,86.55,0.0,128.2,600.0,236.69,700.0,1,1.74,Day 1 00:00,Day 6 08:12
131,4,16,2,576.91,6.49,7.21,7.21,9.37,0.00234,86.55,0.0,128.2,600.0,117.48,700.0,1,2.25,Day 1 00:00,Day 6 08:12
132,16,4,2,576.91,6.49,7.21,7.21,9.37,0.00234,86.55,0.0,128.2,600.0,117.48,700.0,1,2.25,Day 1 00:00,Day 6 08:12
133,4,17,2,1461.33,16.44,18.27,18.27,23.75,0.00114,46.5,0.0,128.2,600.0,260.09,700.0,1,0.87,Day 1 00:00,Day 6 08:12
134,17,4,2,1461.33,16.44,18.27,18.27,23.75,0.00114,46.5,0.0,128.2,600.0,260.09,700.0,1,0.87,Day 1 00:00,Day 6 08:12
135,4,18,2,993.35,11.18,12.42,12.42,16.14,0.0015,54.97,0.0,128.2,600.0,184.63,700.0,1,1.65,Day 1 00:00,Day 6 08:12
136,18,4,2,993.35,11.18,12.42,12.42,16.14,0.0015,54.97,0.0,128.2,600.0,184.63,700.0,1,1.65,Day 1 00:00,Day 6 08:12
137,4,19,2,702.0,7.9,8.77,8.77,11.41,0.00051,63.02,0.0,128.2,600.0,137.65,700.0,1,1.19,Day 1 00:00,Day 6 08:12
138,19,4,2,702.0,7.9,8.77,8.77,11.41,0.00051,63.02,0.0,128.2,600.0,137.65,700.0,1,1.19,Day 1 00:00,Day 6 08:12
139,4,20,2,894.76,10.07,11.18,11.18,14.54,0.00282,42.53,0.0,128.2,600.0,168.73,700.0,1,2.09,Day 1 00:00,Day 6 08:12
140,20,4,2,894.76,10.07,11.18,11.18,14.54,0.00282,42.53,0.0,128.2,600.0,168.73,700.0,1,2.09,Day 1 00:00,Day 6 08:12
141,5,6,2,1108.86,12.47,13.86,13.86,18.02,0.0012,62.96,0.0,128.2,600.0,203.25,700.0,1,2.92,Day 1 00:00,Day 6 08:12
142,6,5,2,1108.86,12.47,13.86,13.86,18.02,0.0012,62.96,0.0,128.2,600.0,203.25,700.0,1,2.92,Day 1 00:00,Day 6 08:12
143,5,7,2,776.71,8.74,9.71,9.71,12.62,0.00228,88.82,0.0,128.2,600.0,149.69,700.0,1,1.4,Day 1 00:00,Day 6 08:12
144,7,5,2,776.71,8.74,9.71,9.71,12.62,0.00228,88.82,0.0,128.2,600.0,149.69,700.0,1,1.4,Day 1 00:00,Day 6 08:12
145,5,8,2,1488.91,16.75,18.61,18.61,24.19,0.00206,65.07,0.0,128.2,600.0,264.54,700.0,1,2.29,Day 1 00:00,Day 6 08:12
146,8,5,2,1488.91,16.75,18.61,18.61,24.19,0.00206,65.07,0.0,128.2,600.0,264.54,700.0,1,2.29,Day 1 00:00,Day 6 08:12
147,5,9,2,866.21,9.74,10.83,10.83,14.08,0.00228,49.24,0.0,128.2,600.0,164.13,700.0,1,2.82,Day 1 00:00,Day 6 08:12
148,9,5,2,866.21,9.74,10.83,10.83,14.08,0.00228,49.24,0.0,128.2,600.0,164.13,700.0,1,2.82,Day 1 00:00,Day 6 08:12
149,5,10,2,996.16,11.21,12.45,12.45,16.19,0.0011,60.6,0.0,128.2,600.0,185.08,700.0,1,2.74,Day 1 00:00,Day 6 08:12
150,10,5,2,996.16,11.21,12.45,12.45,16.19,0.0011,60.6,0.0,128.2,600.0,185.08,700.0,1,2.74,Day 1 00:00,Day 6 08:12
151,5,11,2,1287.76,14.49,16.1,16.1,20.93,0.00171,54.62,0.0,128.2,600.0,232.1,700.0,1,1.44,Day 1 00:00,Day 6 08:12
152,11,5,2,1287.76,14.49,16.1,16.1,20.93,0.00171,54.62,0.0,128.2,600.0,232.1,700.0,1,1.44,Day 1 00:00,Day 6 08:12
153,5,12,2,1479.31,16.64,18.49,18.49,24.04,0.00078,92.23,0.0,128.2,600.0,262.99,700.0,1,2.64,Day 1 00:00,Day 6 08:12
154,12,5,2,1479.31,16.64,18.49,18.49,24.04,0.00078,92.23,0.0,128.2,600.0,262.99,700.0,1,2.64,Day 1 00:00,Day 6 08:12
155,5,13,2,646.83,7.28,8.09,8.09,10.51,0.00137,69.87,0.0,128.2,600.0,128.75,700.0,1,2.51,Day 1 00:00,Day 6 08:12
156,13,5,2,646.83,7.28,8.09,8.09,10.51,0.00137,69.87,0.0,128.2,600.0,128.75,700.0,1,2.51,Day 1 00:00,Day 6 08:12
157,5,14,2,1445.49,16.26,18.07,18.07,23.49,0.00298,49.69,0.0,128.2,600.0,257.54,700.0,1,0.98,Day 1 00:00,Day 6 08:12
158,14,5,2,1445.49,16.26,18.07,18.07,23.49,0.00298,49.69,0.0,128.2,600.0,257.54,700.0,1,0.98,Day 1 00:00,Day 6 08:12
159,5,15,2,936.5,10.54,11.71,11.71,15.22,0.00189,75.97,0.0,128.2,600.0,175.46,700.0,1,0.77,Day 1 00:00,Day 6 08:12
160,15,5,2,936.5,10.54,11.71,11.71,15.22,0.00189,75.97,0.0,128.2,600.0,175.46,700.0,1,0.77,Day 1 00:00,Day 6 08:12
161,5,16,2,1110.99,12.5,13.89,13.89,18.05,0.0028,94.06,0.0,128.2,600.0,203.6,700.0,1,2.86,Day 1 00:00,Day 6 08:12
162,16,5,2,1110.99,12.5,13.89,13.89,18.05,0.0028,94.06,0.0,128.2,600.0,203.6,700.0,1,2.86,Day 1 00:00,Day 6 08:12
163,5,17,2,1414.57,15.91,17.68,17.68,22.99,0.0029,33.41,0.0,128.2,600.0,252.55,700.0,1,2.79,Day 1 00:00,Day 6 08:12
164,17,5,2,1414.57,15.91,17.68,17.68,22.99,0.0029,33.41,0.0,128.2,600.0,252.55,700.0,1,2.79,Day 1 00:00,Day 6 08:12
165,5,18,2,698.33,7.86,8.73,8.73,11.35,0.0013,62.1,0.0,128.2,600.0,137.06,700.0,1,2.89,Day 1 00:00,Day 6 08:12
166,18,5,2,698.33,7.86,8.73,8.73,11.35,0.0013,62.1,0.0,128.2,600.0,137.06,700.0,1,2.89,Day 1 00:00,Day 6 08:12
167,5,19,2,1065.6,11.99,13.32,13.32,17.32,0.00138,56.19,0.0,128.2,600.0,196.28,700.0,1,2.76,Day 1 00:00,Day 6 08:12
168,19,5,2,1065.6,11.99,13.32,13.32,17.32,0.00138,56.19,0.0,128.2,600.0,196.28,700.0,1,2.76,Day 1 00:00,Day 6 08:12
169,5,20,2,1304.58,14.68,16.31,16.31,21.2,0.00084,47.41,0.0,128.2,600.0,234.81,700.0,1,1.43,Day 1 00:00,Day 6 08:12
